Uwall,U roof,U grou,ColorWall,ColorRoof,U wind,WWR_N,WWR_S,WWR_E,WWR_W,CELING,SURFACE,AREA_N,AREA_E,VOLUM,HA kw/m²,CO kw/m² 
0.001,0.001,0.001,0.9,0.9, SIMPLE ,3.718064012,1.239354671,1.239354671,3.718064012,3.2,60,24.78709342,24.78709342,192,114.85,84.40 
0.1,0.001,0.001,0.9,0.1, DOUBLE ,4.553679831,1.517893277,1.517893277,4.553679831,3.2,90,30.35786554,30.35786554,288,58.39,35.12 
0.001,0.1,0.1,0.1,0.9, SIMPLE ,4.553679831,4.553679831,1.517893277,1.517893277,3.2,90,30.35786554,30.35786554,288,6.56,94.34 
0.1,0.001,0.001,0.1,0.1, SIMPLE ,1.314534138,3.943602414,0.657267069,1.971801207,2.4,60,26.29068276,13.14534138,144,7.38,123.05 
0.1,0.1,0.1,0.1,0.9, DOUBLE ,1.138419958,3.415259873,1.138419958,3.415259873,2.4,90,22.76839915,22.76839915,216,0.73,77.98 
0.1,0.001,0.001,0.1,0.1, SIMPLE ,3.718064012,1.239354671,1.239354671,3.718064012,3.2,60,24.78709342,24.78709342,192,2.52,111.33 
0.1,0.1,0.1,0.9,0.9, SIMPLE ,1.752712184,5.258136552,2.629068276,0.876356092,3.2,60,35.05424368,17.52712184,192,0.08,120.53 
0.1,0.1,0.1,0.1,0.9, DOUBLE ,6.439875775,2.146625258,1.073312629,3.219937888,3.2,90,42.93250517,21.46625258,288,34.79,46.59 
0.001,0.1,0.1,0.1,0.1, SIMPLE ,5.258136552,1.752712184,0.876356092,2.629068276,3.2,60,35.05424368,17.52712184,192,49.60,123.25 
0.001,0.1,0.1,0.9,0.1, SIMPLE ,1.314534138,1.314534138,1.971801207,1.971801207,2.4,60,26.29068276,13.14534138,144,159.75,72.83 
0.1,0.1,0.1,0.9,0.1, SIMPLE ,4.829906831,4.829906831,2.414953416,2.414953416,2.4,90,32.19937888,16.09968944,216,33.99,86.16 
0.1,0.001,0.001,0.1,0.1, DOUBLE ,1.138419958,1.138419958,3.415259873,3.415259873,2.4,90,22.76839915,22.76839915,216,0.08,76.78 
0.1,0.001,0.001,0.9,0.9, SIMPLE ,4.829906831,1.609968944,0.804984472,2.414953416,2.4,90,32.19937888,16.09968944,216,39.67,82.20 
0.1,0.001,0.001,0.9,0.9, SIMPLE ,1.517893277,4.553679831,1.517893277,4.553679831,3.2,90,30.35786554,30.35786554,288,54.31,32.76 
0.001,0.1,0.1,0.1,0.1, SIMPLE ,1.752712184,5.258136552,2.629068276,0.876356092,3.2,60,35.05424368,17.52712184,192,35.27,118.68 
0.1,0.001,0.001,0.9,0.9, SIMPLE ,4.553679831,1.517893277,4.553679831,1.517893277,3.2,90,30.35786554,30.35786554,288,1.74,62.44 
0.001,0.001,0.001,0.1,0.9, DOUBLE ,1.609968944,4.829906831,0.804984472,2.414953416,2.4,90,32.19937888,16.09968944,216,37.50,82.09 
0.1,0.001,0.001,0.9,0.9, DOUBLE ,0.929516003,0.929516003,0.929516003,0.929516003,2.4,60,18.59032006,18.59032006,144,79.08,70.12 
0.001,0.001,0.001,0.1,0.9, DOUBLE ,4.829906831,1.609968944,2.414953416,0.804984472,2.4,90,32.19937888,16.09968944,216,70.10,24.49 
0.1,0.1,0.1,0.9,0.9, DOUBLE ,4.829906831,4.829906831,0.804984472,0.804984472,2.4,90,32.19937888,16.09968944,216,103.04,53.76 
0.1,0.001,0.001,0.1,0.9, SIMPLE ,6.439875775,6.439875775,1.073312629,1.073312629,3.2,90,42.93250517,21.46625258,288,38.64,32.81 
0.001,0.1,0.1,0.9,0.1, DOUBLE ,6.439875775,2.146625258,1.073312629,3.219937888,3.2,90,42.93250517,21.46625258,288,42.32,27.76 
0.1,0.001,0.001,0.1,0.1, SIMPLE ,3.943602414,1.314534138,1.971801207,0.657267069,2.4,60,26.29068276,13.14534138,144,43.27,124.43 
0.001,0.1,0.1,0.1,0.1, DOUBLE ,1.609968944,1.609968944,2.414953416,2.414953416,2.4,90,32.19937888,16.09968944,216,53.16,31.66 
0.001,0.1,0.1,0.1,0.9, DOUBLE ,0.929516003,2.788548009,2.788548009,0.929516003,2.4,60,18.59032006,18.59032006,144,113.15,46.05 
0.001,0.001,0.001,0.1,0.1, DOUBLE ,0.929516003,0.929516003,0.929516003,0.929516003,2.4,60,18.59032006,18.59032006,144,4.64,159.03 
0.1,0.001,0.001,0.1,0.1, DOUBLE ,6.439875775,6.439875775,3.219937888,3.219937888,3.2,90,42.93250517,21.46625258,288,38.43,111.22 
0.001,0.1,0.1,0.1,0.9, DOUBLE ,2.788548009,0.929516003,0.929516003,2.788548009,2.4,60,18.59032006,18.59032006,144,0.12,103.25 
0.001,0.001,0.001,0.1,0.9, SIMPLE ,0.929516003,0.929516003,2.788548009,2.788548009,2.4,60,18.59032006,18.59032006,144,63.88,40.50 
0.001,0.1,0.1,0.9,0.9, SIMPLE ,1.138419958,3.415259873,3.415259873,1.138419958,2.4,90,22.76839915,22.76839915,216,0.13,71.96 
0.1,0.001,0.001,0.1,0.1, DOUBLE ,3.415259873,3.415259873,1.138419958,1.138419958,2.4,90,22.76839915,22.76839915,216,26.68,66.17 
0.1,0.1,0.1,0.1,0.1, SIMPLE ,6.439875775,2.146625258,3.219937888,1.073312629,3.2,90,42.93250517,21.46625258,288,60.68,56.16 
0.001,0.001,0.001,0.1,0.1, SIMPLE ,4.829906831,1.609968944,0.804984472,2.414953416,2.4,90,32.19937888,16.09968944,216,102.01,59.43 
0.001,0.001,0.001,0.9,0.9, DOUBLE ,1.138419958,1.138419958,3.415259873,3.415259873,2.4,90,22.76839915,22.76839915,216,72.84,38.82 
0.1,0.001,0.001,0.9,0.1, SIMPLE ,5.258136552,5.258136552,2.629068276,2.629068276,3.2,60,35.05424368,17.52712184,192,51.28,154.25 
0.001,0.1,0.1,0.1,0.9, DOUBLE ,5.258136552,1.752712184,2.629068276,0.876356092,3.2,60,35.05424368,17.52712184,192,117.28,54.65 
0.001,0.001,0.001,0.1,0.9, SIMPLE ,2.788548009,2.788548009,0.929516003,0.929516003,2.4,60,18.59032006,18.59032006,144,134.70,65.68 
0.1,0.1,0.1,0.9,0.9, SIMPLE ,2.788548009,0.929516003,2.788548009,0.929516003,2.4,60,18.59032006,18.59032006,144,63.85,32.07 
0.001,0.001,0.001,0.9,0.9, SIMPLE ,1.314534138,3.943602414,0.657267069,1.971801207,2.4,60,26.29068276,13.14534138,144,139.17,63.83 
0.001,0.1,0.1,0.1,0.1, DOUBLE ,4.553679831,4.553679831,4.553679831,4.553679831,3.2,90,30.35786554,30.35786554,288,0.85,64.24 
0.001,0.1,0.1,0.1,0.1, SIMPLE ,0.929516003,2.788548009,0.929516003,2.788548009,2.4,60,18.59032006,18.59032006,144,74.55,168.83 
0.001,0.001,0.001,0.1,0.1, DOUBLE ,5.258136552,5.258136552,0.876356092,0.876356092,3.2,60,35.05424368,17.52712184,192,105.50,63.52 
0.1,0.001,0.001,0.1,0.1, DOUBLE ,2.146625258,2.146625258,1.073312629,1.073312629,3.2,90,42.93250517,21.46625258,288,50.62,99.72 
0.001,0.001,0.001,0.9,0.9, DOUBLE ,3.415259873,3.415259873,1.138419958,1.138419958,2.4,90,22.76839915,22.76839915,216,37.09,38.24 
0.1,0.1,0.1,0.1,0.9, SIMPLE ,3.718064012,3.718064012,3.718064012,3.718064012,3.2,60,24.78709342,24.78709342,192,52.13,127.42 
0.1,0.001,0.001,0.1,0.9, DOUBLE ,3.943602414,1.314534138,0.657267069,1.971801207,2.4,60,26.29068276,13.14534138,144,33.18,110.77 
0.001,0.1,0.1,0.9,0.1, DOUBLE ,1.138419958,3.415259873,1.138419958,3.415259873,2.4,90,22.76839915,22.76839915,216,53.33,42.19 
0.1,0.001,0.001,0.9,0.9, DOUBLE ,5.258136552,5.258136552,0.876356092,0.876356092,3.2,60,35.05424368,17.52712184,192,78.32,63.43 
0.1,0.001,0.001,0.1,0.9, DOUBLE ,1.239354671,3.718064012,1.239354671,3.718064012,3.2,60,24.78709342,24.78709342,192,36.53,108.65 
0.001,0.1,0.1,0.9,0.1, DOUBLE ,3.415259873,1.138419958,3.415259873,1.138419958,2.4,90,22.76839915,22.76839915,216,62.18,48.50 
